,,,,,,
,01/05/16,CHA,Hibernian,2 - 0,Queen of the South,View events
,07/05/16,PL1,Hibernian,2 - 0,Raith Rovers,View events
,10/05/16,PL1,Hibernian,2 - 2,Falkirk,View events
,10/07/16,CLF,Hibernian,4 - 1,Motherwell,
,14/07/16,UEL,Hibernian,0 - 1,Brøndby,View events
,24/07/16,CLF,Hibernian,1 - 0,Birmingham City,
,09/08/16,LEC,Hibernian,1 - 3,Queen of the South,View events
,13/08/16,CHA,Hibernian,2 - 1,Dunfermline Athletic,View events
,27/08/16,CHA,Hibernian,4 - 0,Greenock Morton,View events
,17/09/16,CHA,Hibernian,1 - 2,Ayr United,View events
,02/10/16,CHA,Hibernian,1 - 1,Dundee United,View events
,08/10/16,CHC,Hibernian,1 - 2,St. Mirren,View events
,29/10/16,CHA,Hibernian,2 - 0,St. Mirren,View events
,12/11/16,CHA,Hibernian,1 - 1,Falkirk,View events
,19/11/16,CHA,Hibernian,4 - 0,Queen of the South,View events
,10/12/16,CHA,Hibernian,2 - 0,Dumbarton,View events
,24/12/16,CHA,Hibernian,1 - 1,Raith Rovers,View events
,06/01/17,CHA,Hibernian,3 - 0,Dundee United,View events
,04/02/17,CHA,Hibernian,1 - 1,Ayr United,View events
,22/02/17,FAC,Hibernian,3 - 1,Hearts,View events
,25/02/17,CHA,Hibernian,2 - 2,Dunfermline Athletic,View events
,04/03/17,FAC,Hibernian,3 - 1,Ayr United,View events
,18/03/17,CHA,Hibernian,2 - 2,Dumbarton,View events
,25/03/17,CHA,Hibernian,2 - 1,Falkirk,View events
,29/03/17,CHA,Hibernian,0 - 0,Greenock Morton,View events
,15/04/17,CHA,Hibernian,3 - 0,Queen of the South,
,22/04/17,FAC,Hibernian,2 - 3,Aberdeen,View events
,26/04/17,CHA,Hibernian,3 - 2,Raith Rovers,View events
,06/05/17,CHA,Hibernian,1 - 1,St. Mirren,View events
,09/07/17,CLF,Hibernian,2 - 2,Sunderland,
,15/07/17,LEC,Hibernian,4 - 0,Montrose,View events
,25/07/17,LEC,Hibernian,6 - 1,Arbroath,View events
,05/08/17,PRE,Hibernian,3 - 1,Partick Thistle,View events
,08/08/17,LEC,Hibernian,5 - 0,Ayr United,View events
,19/08/17,PRE,Hibernian,1 - 3,Hamilton Academical,View events
,16/09/17,PRE,Hibernian,2 - 2,Motherwell,View events
,19/09/17,LEC,Hibernian,3 - 2,Livingston,View events
,14/10/17,PRE,Hibernian,0 - 1,Aberdeen,View events
,21/10/17,LEC,Hibernian,2 - 4,Celtic,View events
,24/10/17,PRE,Hibernian,1 - 0,Hearts,View events
,04/11/17,PRE,Hibernian,2 - 1,Dundee,View events
,18/11/17,PRE,Hibernian,1 - 2,St. Johnstone,View events
,10/12/17,PRE,Hibernian,2 - 2,Celtic,View events
,13/12/17,PRE,Hibernian,1 - 2,Rangers,View events
,23/12/17,PRE,Hibernian,2 - 1,Ross County,View events
,30/12/17,PRE,Hibernian,1 - 1,Kilmarnock,View events
,12/01/18,CLF,Hibernian,1 - 3,Willem II,
,31/01/18,PRE,Hibernian,2 - 1,Motherwell,View events
,17/02/18,PRE,Hibernian,2 - 0,Aberdeen,View events
